File,Ecoul,Elong,Total
POSCAR12,-2450596.26777,-1044747.55777,-3495343.82554, 
,-2450596.26775,-1044747.55777,-3495343.82552, 
,-2450596.26778,-1044747.55777,-3495343.82556, 
,-2450596.26776,-1044747.55777,-3495343.82554, 
,-2450596.26776,-1044747.55777,-3495343.82553, 
,-2450596.26777,-1044747.55777,-3495343.82554, 
,-2450596.26779,-1044747.55777,-3495343.82556, 
,-2450596.26779,-1044747.55777,-3495343.82556, 
,-2450596.26775,-1044747.55777,-3495343.82552, 
,-2450596.26775,-1044747.55777,-3495343.82552, 
 
 
POSCAR13,-894422.44106,-1577207.22729,-2471629.66835, 
,-894422.44100,-1577207.22729,-2471629.66829, 
,-894422.44106,-1577207.22729,-2471629.66835, 
,-894422.44106,-1577207.22729,-2471629.66835, 
,-894422.44103,-1577207.22729,-2471629.66832, 
,-894422.44105,-1577207.22729,-2471629.66835, 
,-894422.44105,-1577207.22729,-2471629.66834, 
,-894422.44100,-1577207.22729,-2471629.66830, 
,-894422.44107,-1577207.22729,-2471629.66836, 
,-894422.44103,-1577207.22729,-2471629.66832, 
 
 
POSCAR14,158642.06842,-1104105.70012,-945463.63169, 
,158642.06837,-1104105.70012,-945463.63175, 
,158642.06829,-1104105.70012,-945463.63183, 
,158642.06832,-1104105.70012,-945463.63179, 
,158642.06833,-1104105.70012,-945463.63179, 
,158642.06834,-1104105.70012,-945463.63178, 
,158642.06829,-1104105.70012,-945463.63183, 
,158642.06831,-1104105.70012,-945463.63181, 
,158642.06835,-1104105.70012,-945463.63176, 
,158642.06840,-1104105.70012,-945463.63172, 
 
 
