File,Reciprocal,,Real
,13784.36295,0.02053996,-4487.19446,0.00622349 
,13784.36295,0.02163679,-4487.19446,0.00620944 
 
 
POSCAR5,9307.49660,0.02274114,-3841.81153,0.00971242 
,9307.49660,0.02250205,-3841.81153,0.00972000 
,9307.49660,0.02230972,-3841.81153,0.00972428 
,9307.49660,0.02261833,-3841.81153,0.00971737 
,9307.49660,0.02281034,-3841.81153,0.00972073 
,9307.49660,0.02274779,-3841.81153,0.00974213 
,9307.49660,0.02230091,-3841.81153,0.00972377 
,9307.49660,0.02264782,-3841.81153,0.00971432 
,9307.49660,0.02293214,-3841.81153,0.00971911 
,9307.49660,0.02260593,-3841.81153,0.00970958 
 
 
POSCAR6,35871.69215,0.03224740,4128.04785,0.02182784 
,35871.69215,0.03278829,4128.04785,0.02189395 
,35871.69215,0.03284997,4128.04785,0.02179258 
,35871.69215,0.03339483,4128.04785,0.02194640 
,35871.69215,0.03285133,4128.04785,0.02193909 
,35871.69215,0.03289300,4128.04785,0.02178773 
,35871.69215,0.03246294,4128.04785,0.02178241 
,35871.69215,0.03270700,4128.04785,0.02177432 
,35871.69215,0.03249934,4128.04785,0.02207292 
,35871.69215,0.03515699,4128.04785,0.02184096 
 
 
POSCAR7,48971.53193,0.06205082,1324.09249,0.08665473 
,48971.53193,0.06273486,1324.09249,0.08639315 
,48971.53193,0.06231622,1324.09249,0.08654121 
,48971.53193,0.06265703,1324.09249,0.08722859 
,48971.53193,0.06275650,1324.09249,0.08659145 
,48971.53193,0.06359928,1324.09249,0.08646940 
,48971.53193,0.06287262,1324.09249,0.08669715 
,48971.53193,0.06239157,1324.09249,0.08755371 
,48971.53193,0.06239231,1324.09249,0.08664894 
,48971.53193,0.06210700,1324.09249,0.08736721 
 
 
POSCAR8,87544.72174,0.12268749,-133083.56811,0.34233923 
,87544.72174,0.12226276,-133083.56811,0.34104065 
,87544.72174,0.12230332,-133083.56811,0.34184110 
,87544.72174,0.12298156,-133083.56811,0.33995611 
,87544.72174,0.12282415,-133083.56811,0.33607948 
,87544.72174,0.12276965,-133083.56811,0.34201453 
,87544.72174,0.12655687,-133083.56811,0.34852616 
,87544.72174,0.12615132,-133083.56811,0.33986949 
,87544.72174,0.12222982,-133083.56811,0.34119119 
,87544.72174,0.12342214,-133083.56811,0.34343136 
 
 
POSCAR9,278800.60778,0.24438742,146797.13467,1.29558825 
,278800.60778,0.24410249,146797.13467,1.31468290 
,278800.60778,0.24291803,146797.13467,1.28909419 
,278800.60778,0.24726373,146797.13467,1.29207593 
,278800.60778,0.24464880,146797.13467,1.30762408 
,278800.60778,0.24353540,146797.13467,1.29918516 
,278800.60778,0.24290395,146797.13467,1.34896559 
,278800.60778,0.24195809,146797.13467,1.30004402 
,278800.60778,0.24333260,146797.13467,1.28594289 
,278800.60778,0.24388598,146797.13467,1.30302808 
 
 
POSCAR10,465020.56345,0.48505371,56934.83061,5.08550145 
,465020.56345,0.48405579,56934.83061,5.09603382 
,465020.56345,0.48609887,56934.83061,5.06804922 
,465020.56345,0.48116960,56934.83061,5.09346626 
,465020.56345,0.48311331,56934.83061,5.07519384 
,465020.56345,0.48955757,56934.83061,5.11933658 
,465020.56345,0.48353188,56934.83061,5.14832604 
,465020.56345,0.48198594,56934.83061,5.07537470 
,465020.56345,0.48628315,56934.83061,5.05576621 
,465020.56345,0.48190613,56934.83061,5.09450058 
 
 
POSCAR11,684719.79847,0.60213614,-122577.45535,7.95072661 
,684719.79847,0.60254981,-122577.45535,8.07017840 
,684719.79847,0.60472011,-122577.45535,8.06990677 
,684719.79847,0.60329526,-122577.45535,8.06813725 
,684719.79847,0.60751794,-122577.45535,8.04653797 
,684719.79847,0.60226297,-122577.45535,8.06943116 
,684719.79847,0.60386437,-122577.45535,8.06940572 
,684719.79847,0.60384697,-122577.45535,8.06613478 
,684719.79847,0.60583577,-122577.45535,8.06473317 
,684719.79847,0.60509365,-122577.45535,8.05324197 
 
 
POSCAR12,904859.27335,0.95094567,-2450596.26775,20.73900297 
,904859.27335,0.95339880,-2450596.26775,20.56382136 
,904859.27335,0.94821798,-2450596.26775,20.55518373 
,904859.27335,0.95105887,-2450596.26775,20.53803434 
,904859.27335,0.94834148,-2450596.26775,20.56913512 
,904859.27335,0.94956544,-2450596.26775,20.57343536 
,904859.27335,0.94623785,-2450596.26775,20.54977683 
,904859.27335,0.95190234,-2450596.26775,20.55223862 
,904859.27335,0.95058708,-2450596.26775,20.59113824 
,904859.27335,0.95007839,-2450596.26775,20.58074994 
 
 
POSCAR13,859801.31161,1.45185791,-894422.44116,32.33104576 
,859801.31161,1.18619456,-894422.44116,32.09039698 
,859801.31161,1.18629082,-894422.44116,32.08153899 
,859801.31161,1.18288397,-894422.44116,32.16201681 
,859801.31161,1.18454840,-894422.44116,32.17885301 
,859801.31161,1.21161642,-894422.44116,32.14566001 
,859801.31161,1.18549814,-894422.44116,32.15560838 
,859801.31161,1.18396985,-894422.44116,32.13044687 
,859801.31161,1.18997566,-894422.44116,32.15890037 
,859801.31161,1.18180674,-894422.44116,32.13964729 
 
 
POSCAR14,1942154.97351,1.47970455,158642.06833,50.36478761 
,1942154.97351,1.47929171,158642.06833,50.22265522 
,1942154.97351,1.48079349,158642.06833,50.24773759 
,1942154.97351,1.47765131,158642.06833,50.21098389 
,1942154.97351,1.48536950,158642.06833,50.15270067 
,1942154.97351,1.48870782,158642.06833,50.57135043 
,1942154.97351,1.48832061,158642.06833,50.04839461 
,1942154.97351,1.48280901,158642.06833,50.24892816 
,1942154.97351,1.48304454,158642.06833,50.20642224 
,1942154.97351,1.48464916,158642.06833,50.43109780 
 
 
